team,name,age,mplay,xG,xA,npxG,npxG + xA
Barcelona,Lionel Messi,33,450,2.6,0.6,1.8,0.49
Barcelona,Neto,31,450,0.0,0.0,0.0,0.00
Barcelona,Gerard Piqué,33,450,0.1,0.2,0.1,0.05
Barcelona,Frenkie de Jong,23,439,0.4,0.4,0.4,0.16
Barcelona,Sergio Busquets,32,428,0.0,0.5,0.0,0.11
Barcelona,Sergi Roberto,28,356,0.4,0.3,0.4,0.17
Barcelona,Jordi Alba,31,340,0.1,0.7,0.1,0.22
Barcelona,Philippe Coutinho,28,333,1.2,0.5,1.2,0.47
Barcelona,Clément Lenglet,25,311,0.0,0.0,0.0,0.00
Barcelona,Ansu Fati,17,309,1.2,1.1,1.2,0.66
Barcelona,Antoine Griezmann,29,270,0.9,0.0,0.9,0.30
Barcelona,Pedri,17,211,0.0,0.5,0.0,0.23
Barcelona,Sergiño Dest,19,196,0.0,0.1,0.0,0.05
Barcelona,Ronald Araújo,21,136,0.0,0.0,0.0,0.00
Barcelona,Ousmane Dembélé,23,91,0.0,0.0,0.0,0.00
Barcelona,Francisco Trincão,20,83,0.3,0.0,0.3,0.39
Barcelona,Miralem Pjanić,30,29,0.0,0.0,0.0,0.11
Barcelona,Martin Braithwaite,29,15,0.0,0.0,0.0,0.00
Barcelona,Riqui Puig,21,4,0.0,0.0,0.0,0.00
Barcelona,Carles Aleñá,22,,,,,
Barcelona,Konrad De La Fuente,19,,,,,
Barcelona,Junior Firpo,24,,,,,
Barcelona,Iñaki,21,,,,,
Barcelona,Óscar Mingueza,21,,,,,
Barcelona,Rafinha,27,,,,,
Barcelona,Santiago Ramos,18,,,,,
Barcelona,Arnau Tenas,19,,,,,
